epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.3956929547897239,0.310533940397351,1.2910601920004943,0.5956192080876158,0.0004998768868112501
2,1.3167225430343326,0.3686879139072848,1.1965207027203915,0.5956192080876158,0.0004995076687428538
3,1.1444863057294428,0.503932119205298,1.168360443605328,0.6107834877843302,0.0004988927101684685
4,1.0046183628751741,0.5745033112582781,1.1062563986163634,0.6343723673125526,0.0004980326179779623
5,0.8881876358133278,0.6630794701986755,1.0535006418686106,0.6529064869418703,0.0004969282409784869
6,0.799152457161455,0.7099544701986755,0.9794488865081864,0.6663858466722831,0.0004955806690568079
7,0.7312427011151977,0.7427566225165563,0.8800848344844635,0.7042965459140691,0.0004939912321037176
8,0.6623997824476254,0.7631415562913907,0.8442369244534526,0.7076663858466723,0.0004921614987015935
9,0.6201089946244727,0.7881829470198676,0.7762547606867507,0.7253580454928391,0.0004900932745763975
10,0.6009148110617075,0.7904594370860927,0.7736424373395321,0.7430497051390059,0.00048778860081564096
11,0.5739056560772144,0.8034975165562914,0.7127448108483486,0.7607413647851727,0.0004852497518540794
12,0.5571151431033153,0.8133278145695364,0.7151313865496114,0.7590564448188711,0.00048247923322911887
13,0.5227949798896613,0.8230546357615894,0.6902768285513526,0.7573715248525695,0.0004794797791081534
14,0.5082210543139881,0.8365066225165563,0.6515700515820986,0.7902274641954508,0.00047625434959027205
15,0.48560701458659394,0.8433360927152318,0.5908772924313951,0.818871103622578,0.00047280612778499796
16,0.4740339208715009,0.8444743377483444,0.6083965282432151,0.7969671440606572,0.0004691385166709441
17,0.46772937999655867,0.8503725165562914,0.5686403267907815,0.8096040438079192,0.0004652551357374841
18,0.46198916780632854,0.8530629139072847,0.5605333609649286,0.8247683235046336,0.00046115981741275293
19,0.4451722815534137,0.8576158940397351,0.5319586362573613,0.8374052232518955,0.0004568566032815033
20,0.43912012963894975,0.8597889072847682,0.5378293341312874,0.8348778433024431,0.00045234974009654953
21,0.41810158773368555,0.8655836092715232,0.5223046168622191,0.8281381634372368,0.00044764367558773485
22,0.40955038802907956,0.8698261589403974,0.5170395588211986,0.8416175231676495,0.0004427430540725595
23,0.3971487025156716,0.8709644039735099,0.4842172544998789,0.8449873631002527,0.00043765271187279977
24,0.39043599752006153,0.8723096026490066,0.4928265921740142,0.8365627632687447,0.0004323776725416423
25,0.37429945220220956,0.8815190397350994,0.4364820213732643,0.8643639427127211,0.00042692314190604367
26,0.37508789849597096,0.8815190397350994,0.46560631191519597,0.8466722830665543,0.0004212945029292079
27,0.35503745394826725,0.8838990066225165,0.4488849538961377,0.8525695029486099,0.0004154973103982512
28,0.35476273979177536,0.8873137417218543,0.4484413340248375,0.8593091828138163,0.0004095372854422981
29,0.35037304727446955,0.8899006622516556,0.40938396402889676,0.8660488626790227,0.0004034203098864177
30,0.342282880418348,0.8899006622516556,0.4138921150010277,0.8601516427969671,0.00039715242044697217
31,0.3351536553032351,0.8912458609271523,0.45746391881084686,0.8601516427969671,0.0003907398027741067
32,0.3402560054269058,0.8934188741721855,0.3935186280770872,0.8803706823925863,0.0003841887853472597
33,0.32671951537100685,0.894453642384106,0.37302770082726633,0.8736310025273799,0.00037750583322971774
34,0.32569221125927983,0.8913493377483444,0.41144000824851557,0.8702611625947767,0.00037069754168837804
35,0.3181137293577194,0.8967301324503312,0.3846981224322279,0.8871103622577927,0.000363770629685017
36,0.3181338187874548,0.8998344370860927,0.37851502273699367,0.8820556023588879,0.0003567319332454857
37,0.3088313028315045,0.8995240066225165,0.38667993201688244,0.8837405223251895,0.00034958839871337787
38,0.2984076330795983,0.9044908940397351,0.3866162232194714,0.8753159224936815,0.0003423470758948273
39,0.3038602262143268,0.9013865894039735,0.37802920948083196,0.8770008424599831,0.0003350151111012004
40,0.3062836644763978,0.9029387417218543,0.3680143344208987,0.8862679022746419,0.0003275997400965495
41,0.3047612397777324,0.898385761589404,0.3507254091927055,0.8896377422072451,0.00032010828095678783
42,0.2958705571806983,0.9050082781456954,0.34193032040325855,0.8887952822240943,0.0003125481268476313
43,0.2845335104410222,0.9085264900662252,0.3489896628531771,0.8887952822240943,0.0003049267387284375
44,0.2849742524967288,0.9115273178807947,0.3675850259725447,0.8879528222409435,0.0002972516379891384
45,0.29159659196604165,0.9048013245033113,0.3622003982648592,0.8828980623420387,0.0002895303990275377
46,0.27909479418535105,0.9087334437086093,0.34956675401332504,0.8938500421229991,0.00028177064177429406
