Timestamp	VehicleID	State	Fuel	Speed	Lat	Lng
[2026-07-18 13:48:17] Simulator started with VehicleID=VN001
[2026-07-18 13:48:17] Initial state: Idle, duration=13.8s
2026-07-18 13:48:17.358	VN001	Idle	50.0	0.0	21.028495	105.854121
2026-07-18 13:48:18.360	VN001	Idle	50.0	0.0	21.028504	105.854135
2026-07-18 13:48:19.361	VN001	Idle	50.0	0.0	21.028511	105.854123
2026-07-18 13:48:20.361	VN001	Idle	50.0	0.0	21.028523	105.854109
2026-07-18 13:48:21.362	VN001	Idle	50.0	0.0	21.028522	105.854124
2026-07-18 13:48:22.363	VN001	Idle	50.0	0.0	21.028529	105.854123
2026-07-18 13:48:23.365	VN001	Idle	50.0	0.0	21.028519	105.854129
2026-07-18 13:48:24.365	VN001	Idle	50.0	0.0	21.028529	105.854141
2026-07-18 13:48:25.366	VN001	Idle	50.0	0.0	21.028517	105.854132
2026-07-18 13:48:26.367	VN001	Idle	50.0	0.0	21.028516	105.854130
2026-07-18 13:48:27.367	VN001	Idle	50.0	0.0	21.028529	105.854126
2026-07-18 13:48:28.368	VN001	Idle	50.0	0.0	21.028518	105.854130
2026-07-18 13:48:29.370	VN001	Idle	50.0	0.0	21.028527	105.854144
2026-07-18 13:48:30.371	VN001	Idle	50.0	0.0	21.028541	105.854154
[2026-07-18 13:48:31] STATE CHANGE: Idle -> Driving (duration: 38.6s)
2026-07-18 13:48:31.372	VN001	Driving	49.94	15.8	21.028580	105.854154
2026-07-18 13:48:32.387	VN001	Driving	49.88	24.0	21.028526	105.854127
2026-07-18 13:48:33.389	VN001	Driving	49.82	31.3	21.028550	105.854206
2026-07-18 13:48:34.392	VN001	Driving	49.76	35.0	21.028513	105.854122
2026-07-18 13:48:35.394	VN001	Driving	49.7	36.8	21.028557	105.854208
2026-07-18 13:48:36.396	VN001	Driving	49.64	38.0	21.028502	105.854291
2026-07-18 13:48:37.398	VN001	Driving	49.57	38.6	21.028425	105.854230
2026-07-18 13:48:38.399	VN001	Driving	49.51	39.5	21.028327	105.854245
2026-07-18 13:48:39.401	VN001	Driving	49.45	42.3	21.028264	105.854337
2026-07-18 13:48:40.403	VN001	Driving	49.39	43.8	21.028310	105.854444
2026-07-18 13:48:41.405	VN001	Driving	49.33	43.1	21.028379	105.854532
2026-07-18 13:48:42.407	VN001	Driving	49.27	46.0	21.028381	105.854409
2026-07-18 13:48:43.409	VN001	Driving	49.22	45.6	21.028451	105.854313
2026-07-18 13:48:44.412	VN001	Driving	49.16	46.4	21.028546	105.854242
2026-07-18 13:48:45.419	VN001	Driving	49.09	47.2	21.028658	105.854282
2026-07-18 13:48:46.422	VN001	Driving	49.03	45.9	21.028700	105.854397
2026-07-18 13:48:47.425	VN001	Driving	48.97	48.1	21.028797	105.854320
2026-07-18 13:48:48.428	VN001	Driving	48.91	47.6	21.028749	105.854437
2026-07-18 13:48:49.433	VN001	Driving	48.85	49.1	21.028745	105.854305
2026-07-18 13:48:50.435	VN001	Driving	48.79	48.2	21.028786	105.854184
2026-07-18 13:48:51.436	VN001	Driving	48.73	48.5	21.028871	105.854277
2026-07-18 13:48:52.437	VN001	Driving	48.66	47.5	21.028989	105.854263
2026-07-18 13:48:53.438	VN001	Driving	48.6	47.9	21.028887	105.854331
2026-07-18 13:48:54.439	VN001	Driving	48.55	49.4	21.028979	105.854242
2026-07-18 13:48:55.441	VN001	Driving	48.48	49.5	21.029102	105.854260
2026-07-18 13:48:56.441	VN001	Driving	48.42	48.8	21.029000	105.854188
2026-07-18 13:48:57.443	VN001	Driving	48.36	49.6	21.028916	105.854287
2026-07-18 13:48:58.444	VN001	Driving	48.31	50.5	21.028976	105.854168
2026-07-18 13:48:59.453	VN001	Driving	48.24	50.1	21.028890	105.854070
2026-07-18 13:49:00.454	VN001	Driving	48.18	50.2	21.028855	105.853941
2026-07-18 13:49:01.454	VN001	Driving	48.12	48.8	21.028823	105.853814
2026-07-18 13:49:02.456	VN001	Driving	48.06	49.0	21.028728	105.853897
2026-07-18 13:49:03.458	VN001	Driving	48.0	48.9	21.028738	105.854028
2026-07-18 13:49:04.460	VN001	Driving	47.94	48.9	21.028653	105.853933
2026-07-18 13:49:05.462	VN001	Driving	47.88	47.9	21.028617	105.853810
